ciudad,ratio_cv,poli_kill_total,poli_kill_black,poli_kill_white,poli_kill_hispanic
Las Vegas,5,4.2,27.6,13.8,10.9
Tulsa,10,9.8,16.3,8.8,10.3
Albuquerque,11,8.4,28.8,6.8,10.1
Oklahoma City,8,11.8,40,6.1,10
Phoenix,7,11,24.7,8.5,9.9
Denver,7,7.1,2.4,4.1,9.7
Fresno,5,6.6,3.8,3.8,9.2
Mesa,4,8.1,0,7.1,8.6
San Francisco,8,3.2,15.3,2.1,8.2
Seattle,7,5.4,12.1,3.5,7.1
Tucson,7,7.7,12.2,5.8,6.6
Long Beach,6,7.4,16.7,5.3,6.1
Los Angeles,6,4.6,11.1,2.6,5.5
Wichita,10,4.9,3.3,5.8,4.9
Nashville,12,2.6,5.1,1.3,4.7
San Jose,3,3.3,5.2,3.7,4.6
Honolulu,2,3,0,3.3,4.5
Colorado Springs,5,5.1,11.7,4.8,4.3
San Antonio,7,5.1,13.7,3.6,4.3
Austin,4,5.8,11.8,7,3.6
Minneapolis,11,3,10.2,0.6,3.6
Memphis,18,5.3,5.3,3.2,3.4
San Diego,4,3.3,3.5,2.9,3.4
Raleigh,4,1.4,2.5,0.7,3.1
Dallas,7,4.8,7.3,5,3.1
Miami,10,3.9,6.6,0,3.1
Houston,11,4.6,9.7,2.9,3
Charlotte,8,4.1,6.8,2.2,3
Detroit,18,2.6,1.7,0,2.9
Fort Worth,6,5.2,9.4,2.8,2.8
Omaha,6,5.2,15.5,3.6,2.7
Portland,4,4.4,16.1,4.4,2.6
Chicago,10,4,9.2,0.3,2.4
Sacramento,7,4,11,4.4,2.3
El Paso,4,3.5,15.7,7.7,1.9
Milwaukee,15,4.1,8.6,1.3,1.4
Boston,7,2.8,9.3,0,1.3
New York,6,1.3,3.7,0.5,0.6
Jacksonville,6,6.8,11.5,5.1,0
Oakland,16,3.3,9.4,2.8,0
Virginia Beach,1,2,5.2,1,0
Cleveland,14,3.6,6.2,1.1,0
Indianapolis,13,4.5,10.2,3,0
Columbus,5,7.1,17.7,3.4,0
Baltimore,16,7.1,9.8,2.5,0
Washington,12,4.5,7.6,0.7,0
Louisville,7,5.3,12.7,2.5,0
Kansas City Missouri,15,8.7,17.9,4,0
Philadelphia,10,3,4.7,0.5,0
Atlanta,11,5.1,8.3,0.9,0
